"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3128","User login with correct email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","1776","Navigation from login page to registration page","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
"","4024","Edit course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","1","test_logout","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
"","1880","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","1340","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","3455","Create course","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","2026-06-16","passed","2026-06-16","","test_markers","",""
"","0","test_critical_login","tests.pytest","2026-06-16","passed","2026-06-16","","test_markers","",""
"","0","test_forgot_password_link","tests.pytest","2026-06-16","passed","2026-06-16","TestUserInterface","test_markers","",""
"","2088","Registration with correct email, username and password","LMS system","2026-06-16","passed","2026-06-16","Registration","Authentication","",""
"","1816","User login with wrong email or password","LMS system","2026-06-16","passed","2026-06-16","Authorization","Authentication","",""
"","1620","Check displaying of dashboard page","LMS system","2026-06-16","passed","2026-06-16","Dashboard","Dashboard","",""
"","1777","Check displaying of empty courses list","LMS system","2026-06-16","passed","2026-06-16","Courses","Courses","",""
"","1","test_password_reset","tests.pytest","2026-06-16","passed","2026-06-16","TestUserAuthentication","test_markers","",""
